Status_checking_account;Duration_month;Credit_history;Purpose;Credit_amount;Savings_account;Employment_since;Installment_rate;Personal_status_sex;Other_debtors_guarantors;Residence_since;Property;Age_years;Other_installment_plans;Housing;Existing_credits;Job;Num_liable;Telephone;Foreign_worker;Credit_risk
0;30;4;A41;6187;1;3;1;A94;A101;4;A123;24;A143;A151;2;A173;1;A191;A201;Good
0;48;4;A41;6143;0;4;4;A92;A101;4;A124;58;A142;A153;2;A172;1;A191;A201;Bad
3;11;4;A40;1393;0;1;4;A92;A101;4;A123;35;A143;A152;2;A174;1;A191;A201;Good
3;36;2;A43;2299;2;4;4;A93;A101;4;A123;39;A143;A152;1;A173;1;A191;A201;Good
0;6;2;A41;1352;2;0;1;A92;A101;2;A122;23;A143;A151;1;A171;1;A192;A201;Good
3;11;4;A40;7228;0;2;1;A93;A101;4;A122;39;A143;A152;2;A172;1;A191;A201;Good
3;12;2;A43;2073;1;2;4;A92;A102;2;A121;28;A143;A152;1;A173;1;A191;A201;Good
1;24;3;A42;2333;4;1;4;A93;A101;2;A122;29;A141;A152;1;A172;1;A191;A201;Good
1;27;3;A41;5965;0;4;1;A93;A101;2;A123;30;A143;A152;2;A174;1;A192;A201;Good
3;12;2;A43;1262;0;2;3;A93;A101;2;A123;25;A143;A152;1;A173;1;A191;A201;Good
3;18;2;A41;3378;4;2;2;A93;A101;1;A122;31;A143;A152;1;A173;1;A192;A201;Good
1;36;3;A40;2225;0;4;4;A93;A101;4;A124;57;A141;A153;2;A173;1;A192;A201;Bad
3;6;1;A40;783;4;2;1;A93;A103;2;A121;26;A142;A152;1;A172;2;A191;A201;Good
1;12;2;A43;6468;4;0;2;A93;A101;1;A124;52;A143;A152;1;A174;1;A192;A201;Bad
3;36;4;A43;9566;0;2;2;A92;A101;2;A123;31;A142;A152;2;A173;1;A191;A201;Good
2;18;2;A40;1961;0;4;3;A92;A101;2;A123;23;A143;A152;1;A174;1;A191;A201;Good
0;36;4;A42;6229;0;1;4;A92;A102;4;A124;23;A143;A151;2;A172;1;A192;A201;Bad
1;9;2;A49;1391;0;2;2;A94;A101;1;A121;27;A141;A152;1;A173;1;A192;A201;Good
1;15;4;A43;1537;4;4;4;A93;A103;4;A121;50;A143;A152;2;A173;1;A192;A201;Good
1;36;0;A49;1953;0;4;4;A93;A101;4;A124;61;A143;A153;1;A174;1;A192;A201;Bad
1;48;0;A49;14421;0;2;2;A93;A101;2;A123;25;A143;A152;1;A173;1;A192;A201;Bad
3;24;2;A43;3181;0;1;4;A92;A101;4;A122;26;A143;A152;1;A173;1;A192;A201;Good
3;27;2;A45;5190;4;4;4;A93;A101;4;A122;48;A143;A152;4;A173;2;A192;A201;Good
3;12;2;A43;2171;0;1;2;A92;A101;2;A123;29;A141;A152;1;A173;1;A191;A201;Good
1;12;2;A40;1007;3;2;4;A94;A101;1;A121;22;A143;A152;1;A173;1;A191;A201;Good
3;36;2;A46;1819;0;2;4;A93;A101;4;A124;37;A142;A153;1;A173;1;A192;A201;Bad
3;36;2;A43;2394;4;2;4;A92;A101;4;A123;25;A143;A152;1;A173;1;A191;A201;Good
3;36;2;A41;8133;0;2;1;A92;A101;2;A122;30;A141;A152;1;A173;1;A191;A201;Good
3;7;4;A43;730;4;4;4;A93;A101;2;A122;46;A143;A151;2;A172;1;A192;A201;Good
0;8;4;A410;1164;0;4;3;A93;A101;4;A124;51;A141;A153;2;A174;2;A192;A201;Good
1;42;4;A49;5954;0;3;2;A92;A101;1;A121;41;A141;A152;2;A172;1;A191;A201;Good
0;36;2;A46;1977;4;4;4;A93;A101;4;A124;40;A143;A152;1;A174;1;A192;A201;Bad
0;12;4;A41;1526;0;4;4;A93;A101;4;A124;66;A143;A153;2;A174;1;A191;A201;Good
0;42;2;A43;3965;0;1;4;A93;A101;3;A123;34;A143;A152;1;A173;1;A191;A201;Bad
1;11;3;A43;4771;0;3;2;A93;A101;4;A122;51;A143;A152;1;A173;1;A191;A201;Good
3;54;0;A41;9436;4;2;2;A93;A101;2;A122;39;A143;A152;1;A172;2;A191;A201;Good
1;30;2;A42;3832;0;1;2;A94;A101;1;A122;22;A143;A152;1;A173;1;A191;A201;Good
3;24;2;A43;5943;4;1;1;A92;A101;1;A123;44;A143;A152;2;A173;1;A192;A201;Bad
3;15;2;A43;1213;2;4;4;A93;A101;3;A122;47;A142;A152;1;A173;1;A192;A201;Good
3;18;2;A49;1568;1;2;3;A92;A101;4;A122;24;A143;A151;1;A172;1;A191;A201;Good
0;24;2;A410;1755;0;4;4;A92;A103;4;A121;58;A143;A152;1;A172;1;A192;A201;Good
0;10;2;A43;2315;0;4;3;A93;A101;4;A121;52;A143;A152;1;A172;1;A191;A201;Good
3;12;4;A49;1412;0;2;4;A92;A103;2;A121;29;A143;A152;2;A174;1;A192;A201;Good
1;18;4;A42;1295;0;1;4;A92;A101;1;A122;27;A143;A152;2;A173;1;A191;A201;Good
1;36;2;A46;12612;1;2;1;A93;A101;4;A124;47;A143;A153;1;A173;2;A192;A201;Bad
0;18;2;A40;2249;1;3;4;A93;A101;3;A123;30;A143;A152;1;A174;2;A192;A201;Good
0;12;0;A45;1108;0;3;4;A93;A101;3;A121;28;A143;A152;2;A173;1;A191;A201;Bad
3;12;4;A43;618;0;4;4;A93;A101;4;A121;56;A143;A152;1;A173;1;A191;A201;Good
0;12;4;A41;1409;0;4;4;A93;A101;3;A121;54;A143;A152;1;A173;1;A191;A201;Good
3;12;4;A43;797;4;4;4;A92;A101;3;A122;33;A141;A152;1;A172;2;A191;A201;Bad
2;24;4;A42;3617;4;4;4;A93;A102;4;A124;20;A143;A151;2;A173;1;A191;A201;Good
1;12;2;A40;1318;3;4;4;A93;A101;4;A121;54;A143;A152;1;A173;1;A192;A201;Good
1;54;0;A49;15945;0;1;3;A93;A101;4;A124;58;A143;A151;1;A173;1;A192;A201;Bad
3;12;4;A46;2012;4;3;4;A92;A101;2;A123;61;A143;A152;1;A173;1;A191;A201;Good
1;18;2;A49;2622;1;2;4;A93;A101;4;A123;34;A143;A152;1;A173;1;A191;A201;Good
1;36;4;A43;2337;0;4;4;A93;A101;4;A121;36;A143;A152;1;A173;1;A191;A201;Good
1;20;3;A41;7057;4;3;3;A93;A101;4;A122;36;A141;A151;2;A174;2;A192;A201;Good
3;24;2;A40;1469;1;4;4;A94;A101;4;A121;41;A143;A151;1;A172;1;A191;A201;Good
1;36;2;A43;2323;0;3;4;A93;A101;4;A123;24;A143;A151;1;A173;1;A191;A201;Good
3;6;3;A43;932;0;2;3;A92;A101;2;A121;24;A143;A152;1;A173;1;A191;A201;Good
1;9;4;A42;1919;0;3;4;A93;A101;3;A123;35;A143;A151;1;A173;1;A192;A201;Good
3;12;2;A41;2445;4;1;2;A94;A101;4;A123;26;A143;A151;1;A173;1;A192;A201;Good
1;24;4;A410;11938;0;2;2;A93;A102;3;A123;39;A143;A152;2;A174;2;A192;A201;Bad
3;18;1;A40;6458;0;4;2;A93;A101;4;A124;39;A141;A152;2;A174;2;A192;A201;Bad
1;12;2;A40;6078;0;3;2;A93;A101;2;A123;32;A143;A152;1;A173;1;A191;A201;Good
0;24;2;A42;7721;4;1;1;A92;A101;2;A122;30;A143;A152;1;A173;1;A192;A202;Good
1;14;2;A49;1410;2;4;1;A94;A101;2;A121;35;A143;A152;1;A173;1;A192;A201;Good
1;6;3;A49;1449;1;4;1;A91;A101;2;A123;31;A141;A152;2;A173;2;A191;A201;Good
2;15;2;A46;392;0;1;4;A92;A101;4;A122;23;A143;A151;1;A173;1;A192;A201;Good
1;18;2;A40;6260;0;3;3;A93;A101;3;A121;28;A143;A151;1;A172;1;A191;A201;Good
3;36;4;A40;7855;0;2;4;A92;A101;2;A121;25;A142;A152;2;A173;1;A192;A201;Bad
0;12;2;A43;1680;2;4;3;A94;A101;1;A121;35;A143;A152;1;A173;1;A191;A201;Good
3;48;4;A43;3578;4;4;4;A93;A101;1;A121;47;A143;A152;1;A173;1;A192;A201;Good
0;42;2;A43;7174;4;3;4;A92;A101;3;A123;30;A143;A152;1;A174;1;A192;A201;Bad
0;10;4;A42;2132;4;1;2;A92;A102;3;A121;27;A143;A151;2;A173;1;A191;A202;Good
0;33;4;A42;4281;2;2;1;A92;A101;4;A123;23;A143;A152;2;A173;1;A191;A201;Bad
1;12;4;A40;2366;2;3;3;A91;A101;3;A123;36;A143;A152;1;A174;1;A192;A201;Good
0;21;2;A43;1835;0;2;3;A92;A101;2;A121;25;A143;A152;2;A173;1;A192;A201;Bad
3;24;4;A41;3868;0;4;4;A92;A101;2;A123;41;A143;A151;2;A174;1;A192;A201;Good
3;12;2;A42;1768;0;2;3;A93;A101;2;A121;24;A143;A151;1;A172;1;A191;A201;Good
2;10;4;A40;781;0;4;4;A93;A101;4;A124;63;A143;A153;2;A173;1;A192;A201;Good
1;18;2;A42;1924;4;1;4;A92;A101;3;A121;27;A143;A151;1;A173;1;A191;A201;Bad
0;12;4;A40;2121;0;2;4;A93;A101;2;A122;30;A143;A152;2;A173;1;A191;A201;Good
0;12;2;A43;701;0;2;4;A94;A101;2;A121;40;A143;A152;1;A172;1;A191;A201;Good
1;12;2;A45;639;0;2;4;A93;A101;2;A123;30;A143;A152;1;A173;1;A191;A201;Bad
1;12;4;A41;1860;0;0;4;A93;A101;2;A123;34;A143;A152;2;A174;1;A192;A201;Good
0;12;4;A40;3499;0;2;3;A92;A102;2;A121;29;A143;A152;2;A173;1;A191;A201;Bad
1;48;2;A40;8487;4;3;1;A92;A101;2;A123;24;A143;A152;1;A173;1;A191;A201;Good
0;36;3;A46;6887;0;2;4;A93;A101;3;A122;29;A142;A152;1;A173;1;A192;A201;Bad
3;15;2;A42;2708;0;1;2;A93;A101;3;A122;27;A141;A152;2;A172;1;A191;A201;Good
3;18;2;A42;1984;0;2;4;A93;A101;4;A124;47;A141;A153;2;A173;1;A191;A201;Good
3;60;2;A43;10144;1;3;2;A92;A101;4;A121;21;A143;A152;1;A173;1;A192;A201;Good
3;12;4;A43;1240;4;4;4;A92;A101;2;A121;38;A143;A152;2;A173;1;A192;A201;Good
3;27;3;A41;8613;3;2;2;A93;A101;2;A123;27;A143;A152;2;A173;1;A191;A201;Good
1;12;2;A43;766;2;2;4;A93;A101;3;A121;66;A143;A152;1;A172;1;A191;A201;Bad
1;15;4;A43;2728;4;3;4;A93;A103;2;A121;35;A141;A152;3;A173;1;A192;A201;Good
2;12;2;A43;1881;0;2;2;A92;A101;2;A123;44;A143;A151;1;A172;1;A192;A201;Good
2;6;2;A40;709;3;1;2;A94;A101;2;A121;27;A143;A152;1;A171;1;A191;A202;Good
1;36;2;A43;4795;0;1;4;A92;A101;1;A124;30;A143;A152;1;A174;1;A192;A201;Good
0;27;2;A43;3416;0;2;3;A93;A101;2;A123;27;A143;A152;1;A174;1;A191;A201;Good
0;18;2;A42;2462;0;2;2;A93;A101;2;A123;22;A143;A152;1;A173;1;A191;A201;Bad
3;21;4;A42;2288;0;1;4;A92;A101;4;A122;23;A143;A152;1;A173;1;A192;A201;Good
1;48;1;A49;3566;1;3;4;A93;A101;2;A123;30;A143;A152;1;A173;1;A191;A201;Good
0;6;4;A40;860;0;4;1;A92;A101;4;A124;39;A143;A152;2;A173;1;A192;A201;Good
3;12;4;A40;682;1;3;4;A92;A101;3;A123;51;A143;A152;2;A173;1;A192;A201;Good
0;36;4;A42;5371;0;2;3;A93;A103;2;A122;28;A143;A152;2;A173;1;A191;A201;Good
3;18;4;A43;1582;3;4;4;A93;A101;4;A123;46;A143;A152;2;A173;1;A191;A201;Good
3;6;2;A43;1346;1;4;2;A93;A101;4;A124;42;A141;A153;1;A173;2;A192;A201;Good
3;10;2;A43;1924;0;2;1;A93;A101;4;A122;38;A143;A152;1;A173;1;A192;A202;Good
2;36;2;A43;5848;0;2;4;A93;A101;1;A123;24;A143;A152;1;A173;1;A191;A201;Good
1;24;4;A41;7758;3;4;2;A92;A101;4;A124;29;A143;A151;1;A173;1;A191;A201;Good
1;24;3;A49;6967;1;3;4;A93;A101;4;A123;36;A143;A151;1;A174;1;A192;A201;Good
0;12;2;A42;1282;0;2;2;A92;A101;4;A123;20;A143;A151;1;A173;1;A191;A201;Bad
0;9;4;A45;1288;1;4;3;A93;A103;4;A121;48;A143;A152;2;A173;2;A191;A202;Good
0;12;1;A48;339;0;4;4;A94;A101;1;A123;45;A141;A152;1;A172;1;A191;A201;Good
1;24;2;A40;3512;1;3;2;A93;A101;3;A123;38;A141;A152;2;A173;1;A192;A201;Good
3;6;4;A43;1898;4;2;1;A93;A101;2;A121;34;A143;A152;2;A172;2;A191;A201;Good
3;24;4;A43;2872;1;4;3;A93;A101;4;A121;36;A143;A152;1;A173;2;A192;A201;Good
3;18;4;A40;1055;0;1;4;A92;A101;1;A122;30;A143;A152;2;A173;1;A191;A201;Good
3;15;2;A44;1262;2;3;4;A93;A101;3;A122;36;A143;A152;2;A173;1;A192;A201;Good
1;10;2;A40;7308;0;0;2;A93;A101;4;A124;70;A141;A153;1;A174;1;A192;A201;Good
3;36;2;A40;909;2;4;4;A93;A101;4;A122;36;A143;A152;1;A173;1;A191;A201;Good
3;6;2;A42;2978;2;2;1;A93;A101;2;A123;32;A143;A152;1;A173;1;A192;A201;Good
0;18;2;A42;1131;0;0;4;A92;A101;2;A123;33;A143;A152;1;A173;1;A191;A201;Bad
1;11;2;A42;1577;3;1;4;A92;A101;1;A121;20;A143;A152;1;A173;1;A191;A201;Good
3;24;2;A42;3972;0;3;2;A92;A101;4;A122;25;A143;A151;1;A173;1;A192;A201;Good
1;24;4;A49;1935;0;4;4;A91;A101;4;A121;31;A143;A152;2;A173;1;A192;A201;Bad
0;15;0;A40;950;0;4;4;A93;A101;3;A123;33;A143;A151;2;A173;2;A191;A201;Bad
3;12;2;A42;763;0;2;4;A92;A101;1;A121;26;A143;A152;1;A173;1;A192;A201;Good
1;24;3;A42;2064;0;0;3;A92;A101;2;A122;34;A143;A152;1;A174;1;A192;A201;Bad
1;8;2;A43;1414;0;2;4;A93;A103;2;A121;33;A143;A152;1;A173;1;A191;A202;Good
0;21;3;A46;3414;0;1;2;A93;A101;1;A122;26;A143;A152;2;A173;1;A191;A201;Bad
3;30;1;A41;7485;4;0;4;A92;A101;1;A121;53;A141;A152;1;A174;1;A192;A201;Bad
0;12;2;A42;2577;0;2;2;A91;A101;1;A123;42;A143;A152;1;A173;1;A191;A201;Good
0;6;4;A43;338;2;4;4;A93;A101;4;A123;52;A143;A152;2;A173;1;A191;A201;Good
3;12;2;A43;1963;0;3;4;A93;A101;2;A123;31;A143;A151;2;A174;2;A192;A201;Good
0;21;4;A40;571;0;4;4;A93;A101;4;A121;65;A143;A152;2;A173;1;A191;A201;Good
3;36;3;A49;9572;0;1;1;A91;A101;1;A123;28;A143;A152;2;A173;1;A191;A201;Bad
1;36;3;A49;4455;0;2;2;A91;A101;2;A121;30;A142;A152;2;A174;1;A192;A201;Bad
0;21;1;A40;1647;4;2;4;A93;A101;2;A122;40;A143;A152;2;A172;2;A191;A201;Bad
3;24;4;A42;3777;3;2;4;A93;A101;4;A121;50;A143;A152;1;A173;1;A192;A201;Good
1;18;4;A40;884;0;4;4;A93;A101;4;A123;36;A141;A152;1;A173;2;A192;A201;Bad
3;15;4;A43;1360;0;2;4;A93;A101;2;A122;31;A143;A152;2;A173;1;A191;A201;Good
1;9;1;A41;5129;0;4;2;A92;A101;4;A124;74;A141;A153;1;A174;2;A192;A201;Bad
1;16;4;A40;1175;0;0;2;A93;A101;3;A123;68;A143;A153;3;A171;1;A192;A201;Good
0;12;2;A43;674;1;3;4;A94;A101;1;A122;20;A143;A152;1;A173;1;A191;A201;Bad
1;18;0;A42;3244;0;2;1;A92;A101;4;A123;33;A141;A152;2;A173;1;A192;A201;Good
3;24;2;A49;4591;3;2;2;A93;A101;3;A122;54;A143;A152;3;A174;1;A192;A201;Bad
1;48;0;A49;3844;1;3;4;A93;A101;4;A124;34;A143;A153;1;A172;2;A191;A201;Bad
1;27;2;A49;3915;0;2;4;A93;A101;2;A123;36;A143;A152;1;A173;2;A192;A201;Bad
3;6;2;A43;2108;0;3;2;A94;A101;2;A121;29;A143;A151;1;A173;1;A191;A201;Good
1;45;2;A43;3031;1;2;4;A93;A103;4;A122;21;A143;A151;1;A173;1;A191;A201;Bad
1;9;4;A46;1501;0;4;2;A92;A101;3;A123;34;A143;A152;2;A174;1;A192;A201;Bad
3;6;4;A43;1382;0;2;1;A92;A101;1;A123;28;A143;A152;2;A173;1;A192;A201;Good
1;12;2;A42;951;1;1;4;A92;A101;4;A123;27;A141;A151;4;A173;1;A191;A201;Bad
1;24;2;A41;2760;4;4;4;A93;A101;4;A124;36;A141;A153;1;A173;1;A192;A201;Good
1;18;3;A42;4297;0;4;4;A91;A101;3;A124;40;A143;A152;1;A174;1;A192;A201;Bad
3;9;4;A46;936;2;4;4;A93;A101;2;A123;52;A143;A152;2;A173;1;A192;A201;Good
0;12;2;A40;1168;0;2;4;A94;A101;3;A121;27;A143;A152;1;A172;1;A191;A201;Good
3;27;3;A49;5117;0;3;3;A93;A101;4;A123;26;A143;A152;2;A173;1;A191;A201;Good
0;12;2;A48;902;0;3;4;A94;A101;4;A122;21;A143;A151;1;A173;1;A191;A201;Bad
3;12;4;A40;1495;0;4;4;A93;A101;1;A121;38;A143;A152;2;A172;2;A191;A201;Good
0;30;4;A41;10623;0;4;3;A93;A101;4;A124;38;A143;A153;3;A174;2;A192;A201;Good
3;12;4;A42;1935;0;4;4;A93;A101;4;A121;43;A143;A152;3;A173;1;A192;A201;Good
1;12;4;A44;1424;0;3;4;A93;A101;3;A122;26;A143;A152;1;A173;1;A191;A201;Good
0;24;2;A49;6568;0;2;2;A94;A101;2;A123;21;A142;A152;1;A172;1;A191;A201;Good
3;12;2;A41;1413;3;3;3;A93;A101;2;A122;55;A143;A152;1;A173;1;A191;A202;Good
3;9;4;A43;3074;4;2;1;A93;A101;2;A121;33;A143;A152;2;A173;2;A191;A201;Good
3;36;2;A43;3835;4;4;2;A92;A101;4;A121;45;A143;A152;1;A172;1;A192;A201;Good
0;27;0;A49;5293;0;0;2;A93;A101;4;A122;50;A142;A152;2;A173;1;A192;A201;Bad
2;30;3;A49;1908;0;4;4;A93;A101;4;A121;66;A143;A152;1;A174;1;A192;A201;Bad
3;36;4;A43;3342;4;4;4;A93;A101;2;A123;51;A143;A152;1;A173;1;A192;A201;Good
1;6;4;A48;932;4;3;1;A92;A101;3;A122;39;A143;A152;2;A172;1;A191;A201;Good
0;18;0;A49;3104;0;3;3;A93;A101;1;A122;31;A141;A152;1;A173;1;A192;A201;Good
2;36;2;A43;3913;0;2;2;A93;A101;2;A121;23;A143;A152;1;A173;1;A192;A201;Good
0;24;2;A42;3021;0;2;2;A91;A101;2;A121;24;A143;A151;1;A172;1;A191;A201;Good
3;10;2;A40;1364;0;2;2;A92;A101;4;A123;64;A143;A152;1;A173;1;A192;A201;Good
1;12;2;A43;625;0;1;4;A94;A103;1;A121;26;A141;A152;1;A172;1;A191;A201;Good
0;12;2;A46;1200;4;2;4;A92;A101;4;A122;23;A141;A151;1;A173;1;A192;A201;Good
3;12;2;A43;707;0;2;4;A93;A101;2;A121;30;A141;A152;2;A173;1;A191;A201;Good
3;24;3;A49;2978;4;2;4;A93;A101;4;A121;32;A143;A152;2;A173;2;A192;A201;Good
3;15;2;A41;4657;0;2;3;A93;A101;2;A123;30;A143;A152;1;A173;1;A192;A201;Good
3;36;0;A45;2613;0;2;4;A93;A101;2;A123;27;A143;A152;2;A173;1;A191;A201;Good
1;48;2;A43;10961;3;3;1;A93;A102;2;A124;27;A141;A152;2;A173;1;A192;A201;Bad
0;12;2;A42;7865;0;4;4;A93;A101;4;A124;53;A143;A153;1;A174;1;A192;A201;Bad
3;9;2;A43;1478;0;3;4;A93;A101;2;A123;22;A143;A152;1;A173;1;A191;A201;Bad
0;24;2;A42;3149;0;1;4;A93;A101;1;A124;22;A141;A153;1;A173;1;A191;A201;Good
2;36;2;A43;4210;0;2;4;A93;A101;2;A123;26;A143;A152;1;A173;1;A191;A201;Bad
3;9;2;A40;2507;2;4;2;A93;A101;4;A124;51;A143;A153;1;A172;1;A191;A201;Good
3;12;2;A43;2141;1;3;3;A93;A101;1;A124;35;A143;A152;1;A173;1;A191;A201;Good
1;18;2;A43;866;0;2;4;A94;A103;2;A121;25;A143;A152;1;A172;1;A191;A201;Good
3;4;4;A43;1544;0;3;2;A93;A101;1;A121;42;A143;A152;3;A172;2;A191;A201;Good
0;24;2;A43;1823;0;0;4;A93;A101;2;A123;30;A142;A152;1;A174;2;A191;A201;Bad
1;6;2;A40;14555;4;0;1;A93;A101;2;A122;23;A143;A152;1;A171;1;A192;A201;Bad
1;21;2;A49;2767;1;4;4;A91;A101;2;A123;61;A141;A151;2;A172;1;A191;A201;Bad
3;12;4;A43;1291;0;2;4;A92;A101;2;A122;35;A143;A152;2;A173;1;A191;A201;Good
0;30;2;A43;2522;0;4;1;A93;A103;3;A122;39;A143;A152;1;A173;2;A191;A201;Good
0;24;2;A40;915;4;4;4;A92;A101;2;A123;29;A141;A152;1;A173;1;A191;A201;Bad
3;6;2;A43;1595;0;3;3;A93;A101;2;A122;51;A143;A152;1;A173;2;A191;A201;Good
0;48;0;A41;4605;0;4;3;A93;A101;4;A124;24;A143;A153;2;A173;2;A191;A201;Bad
3;12;4;A49;1185;0;2;3;A92;A101;2;A121;27;A143;A152;2;A173;1;A191;A201;Good
3;12;1;A48;3447;2;2;4;A92;A101;3;A121;35;A143;A152;1;A172;2;A191;A201;Good
3;24;2;A49;1258;0;3;4;A93;A101;1;A121;25;A143;A152;1;A173;1;A192;A201;Good
3;12;4;A43;717;0;4;4;A93;A101;4;A121;52;A143;A152;3;A173;1;A191;A201;Good
3;6;0;A40;1204;1;2;4;A93;A101;1;A124;35;A141;A151;1;A173;1;A191;A202;Good
2;24;2;A42;1925;0;2;2;A93;A101;2;A121;26;A143;A152;1;A173;1;A191;A201;Good
3;18;2;A43;433;0;0;3;A92;A102;4;A121;22;A143;A151;1;A173;1;A191;A201;Bad
0;6;4;A40;666;3;3;3;A92;A101;4;A121;39;A143;A152;2;A172;1;A192;A201;Good
2;12;2;A42;2251;0;2;1;A92;A101;2;A123;46;A143;A152;1;A172;1;A191;A201;Good
1;30;2;A40;2150;0;2;4;A92;A103;2;A124;24;A141;A152;1;A173;1;A191;A201;Bad
3;24;3;A42;4151;1;2;2;A93;A101;3;A122;35;A143;A152;2;A173;1;A191;A201;Good
1;9;2;A42;2030;4;3;2;A93;A101;1;A123;24;A143;A152;1;A173;1;A192;A201;Good
1;60;3;A43;7418;4;2;1;A93;A101;1;A121;27;A143;A152;1;A172;1;A191;A201;Good
3;24;4;A43;2684;0;2;4;A93;A101;2;A121;35;A143;A152;2;A172;1;A191;A201;Good
0;12;1;A43;2149;0;2;4;A91;A101;1;A124;29;A143;A153;1;A173;1;A191;A201;Bad
